class,Max_Ecio,Min_Ecio,Std_Ecio,Max_Rscp,Std_Rscp
no,-25.000000,-25.000000, 0.000000,-77.000000, 2.451905
no,-25.000000,-25.000000, 0.000000,-77.000000, 1.936046
no,-25.000000,-25.000000, 0.000000,-78.000000, 1.788854
no,-25.000000,-25.000000, 0.000000,-80.000000, 0.000000
no,-25.000000,-25.000000, 0.000000,-80.000000, 0.000000
no,-25.000000,-25.000000, 0.000000,-75.000000, 2.670407
no,-25.000000,-25.000000, 0.000000,-75.000000, 2.670407
no,-25.000000,-25.000000, 0.000000,-80.000000, 1.197424
no,-25.000000,-25.000000, 0.000000,-80.000000, 1.653552
no,-25.000000,-25.000000, 0.000000,-80.000000, 2.076090
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.239855
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.211467
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.061048
no,-25.000000,-25.000000, 0.000000,-79.000000, 2.012143
no,-25.000000,-25.000000, 0.000000,-79.000000, 2.003596
no,-25.000000,-25.000000, 0.000000,-79.000000, 1.945234
no,-25.000000,-25.000000, 0.000000,-79.000000, 1.773869
no,-25.000000,-25.000000, 0.000000,-79.000000, 1.699452
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.141532
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.463920
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.330019
no,-23.000000,-25.000000, 0.260378,-80.000000, 2.158127
no,-23.000000,-25.000000, 0.314281,-81.000000, 1.941126
no,-23.000000,-25.000000, 0.334039,-81.000000, 1.799168
no,-24.000000,-25.000000, 0.219784,-81.000000, 1.810515
no,-24.000000,-25.000000, 0.141421,-82.000000, 1.752549
no,-25.000000,-25.000000, 0.000000,-82.000000, 2.221228
no,-23.000000,-25.000000, 0.324443,-82.000000, 2.247964
no,-23.000000,-25.000000, 0.294884,-82.000000, 1.977286
no,-23.000000,-25.000000, 0.277350,-82.000000, 1.878974
no,-25.000000,-25.000000, 0.000000,-80.000000, 1.775058
no,-23.000000,-25.000000, 0.272166,-80.000000, 1.720209
no,-23.000000,-25.000000, 0.260378,-80.000000, 1.674228
no,-21.000000,-25.000000, 0.783002,-79.000000, 1.761329
no,-21.000000,-25.000000, 0.746314,-79.000000, 2.108816
no,-21.000000,-25.000000, 0.830900,-79.000000, 2.179190
no,-22.000000,-25.000000, 0.454158,-80.000000, 1.996226
no,-22.000000,-25.000000, 0.454158,-80.000000, 1.887883
no,-20.000000,-25.000000, 0.847986,-82.000000, 1.742902
no,-20.000000,-25.000000, 0.841065,-82.000000, 1.848729
no,-20.000000,-25.000000, 0.841065,-82.000000, 1.730199
no,-25.000000,-25.000000, 0.000000,-84.000000, 1.513514
no,-24.000000,-25.000000, 0.184059,-83.000000, 1.691586
no,-24.000000,-25.000000, 0.184059,-83.000000, 1.707958
no,-21.000000,-25.000000, 0.670211,-83.000000, 1.734058
no,-21.000000,-25.000000, 0.674223,-83.000000, 1.550569
no,-20.000000,-25.000000, 1.128255,-82.000000, 1.940659
no,-20.000000,-25.000000, 0.918906,-82.000000, 1.887346
no,-20.000000,-25.000000, 0.901925,-82.000000, 1.861899
no,-23.000000,-25.000000, 0.480995,-85.000000, 1.541424
no,-21.000000,-25.000000, 0.733385,-85.000000, 1.584797
no,-21.000000,-25.000000, 0.697858,-85.000000, 1.445820
no,-21.000000,-25.000000, 0.610640,-84.000000, 1.443662
no,-24.000000,-25.000000, 0.130189,-84.000000, 1.489492
no,-24.000000,-25.000000, 0.130189,-84.000000, 1.402594
no,-24.000000,-25.000000, 0.131306,-84.000000, 1.379239
no,-22.000000,-25.000000, 0.416604,-85.000000, 1.777752
no,-22.000000,-25.000000, 0.420266,-85.000000, 1.831808
no,-22.000000,-25.000000, 0.397360,-84.000000, 2.062616
no,-22.000000,-25.000000, 0.430605,-83.000000, 1.707338
no,-22.000000,-25.000000, 0.494269,-83.000000, 1.838290
no,-22.000000,-25.000000, 0.721737,-83.000000, 1.556470
no,-22.000000,-25.000000, 0.615249,-84.000000, 1.620490
no,-22.000000,-25.000000, 0.566484,-83.000000, 1.735635
no,-24.000000,-25.000000, 0.181020,-83.000000, 1.662141
no,-24.000000,-25.000000, 0.253555,-83.000000, 1.805084
no,-24.000000,-25.000000, 0.255609,-85.000000, 1.373855
no,-24.000000,-25.000000, 0.255609,-87.000000, 1.340536
no,-24.000000,-25.000000, 0.138675,-86.000000, 1.534422
no,-24.000000,-25.000000, 0.145865,-86.000000, 1.731249
no,-23.000000,-25.000000, 0.448040,-86.000000, 1.597581
no,-23.000000,-25.000000, 0.423374,-86.000000, 1.505192
no,-22.000000,-25.000000, 0.669082,-85.000000, 1.300682
no,-22.000000,-25.000000, 0.564368,-85.000000, 1.399270
no,-22.000000,-25.000000, 0.689319,-85.000000, 1.565630
no,-22.000000,-25.000000, 0.473542,-85.000000, 1.741357
no,-22.000000,-25.000000, 0.560612,-86.000000, 1.761132
no,-24.000000,-25.000000, 0.166667,-86.000000, 1.675927
no,-20.000000,-25.000000, 0.851827,-86.000000, 1.394676
no,-20.000000,-25.000000, 0.728804,-86.000000, 1.558304
no,-20.000000,-25.000000, 1.076555,-85.000000, 1.875431
no,-20.000000,-25.000000, 0.840250,-85.000000, 1.770431
no,-20.000000,-25.000000, 0.826811,-85.000000, 1.794530
no,-23.000000,-25.000000, 0.258199,-86.000000, 1.299609
no,-22.000000,-25.000000, 0.632456,-86.000000, 1.243628
no,-22.000000,-25.000000, 0.632456,-87.000000, 1.571641
no,-22.000000,-25.000000, 0.617777,-86.000000, 1.822484
no,-23.000000,-25.000000, 0.354152,-86.000000, 1.886317
no,-23.000000,-25.000000, 0.372425,-86.000000, 1.556016
no,-22.000000,-25.000000, 0.542711,-86.000000, 1.475853
no,-22.000000,-25.000000, 0.476570,-86.000000, 1.673573
no,-21.000000,-25.000000, 0.770707,-87.000000, 1.525556
no,-21.000000,-25.000000, 0.650076,-86.000000, 1.965809
no,-21.000000,-25.000000, 0.668078,-86.000000, 1.926327
no,-24.000000,-25.000000, 0.229184,-86.000000, 1.950050
no,-22.000000,-25.000000, 0.449964,-86.000000, 1.562905
no,-22.000000,-25.000000, 0.412082,-86.000000, 1.445929
no,-22.000000,-25.000000, 0.393919,-85.000000, 1.655802
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.400565
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.430499
no,-25.000000,-25.000000, 0.000000,-86.000000, 1.268454
no,-25.000000,-25.000000, 0.000000,-86.000000, 1.501343
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.976529
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.862204
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.592116
no,-25.000000,-25.000000, 0.000000,-84.000000, 1.457011
no,-25.000000,-25.000000, 0.000000,-84.000000, 1.299357
no,-25.000000,-25.000000, 0.000000,-84.000000, 1.399325
no,-25.000000,-25.000000, 0.000000,-84.000000, 1.105013
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.525173
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.497179
no,-25.000000,-25.000000, 0.000000,-85.000000, 1.527155
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.794530
